DISTRICT NAME,TOTAL NUMBER OF SCHOOLS,TOTAL STUDENTS,STAAR: % ALL SUBJECTS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ALL SUBJECTS AT MASTERS GRADE LEVEL STANDARD,STAAR: % ELA/READING AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ELA/READING AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % MATHEMATICS AT MASTERS GRADE LEVEL STANDARD,STAAR: % SCIENCE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SCIENCE AT MASTERS GRADE LEVEL STANDARD,STAAR: % SOCIAL STUDIES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE, STAAR: % SOCIAL STUDIES AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % SOCIAL STUDIES AT MASTERS GRADE LEVEL STANDARD, STAAR: % AFRICAN AMERICAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AFRICAN AMERICAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % HISPANIC AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % HISPANIC AT MASTERS GRADE LEVEL STANDARD,STAAR: % WHITE AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % WHITE AT MASTERS GRADE LEVEL STANDARD,STAAR: % AMERICAN INDIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % AMERICAN INDIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % ASIAN AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ASIAN AT MASTERS GRADE LEVEL STANDARD,STAAR: % PACIFIC ISLANDER AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % PACIFIC ISLANDER AT MASTERS GRADE LEVEL STANDARD,STAAR: % TWO OR MORE RACES AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % TWO OR MORE RACES AT MEETS GRADE LEVEL STANDARD OR ABOVE, STAAR: % TWO OR MORE RACES AT MASTERS GRADE LEVEL STANDARD,STAAR: % ECONOMICALLY DISADVANTAGED AT APPROACHES GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MEETS GRADE LEVEL STANDARD OR ABOVE,STAAR: % ECONOMICALLY DISADVANTAGED AT MASTERS GRADE LEVEL STANDARD
LUBBOCK ISD,48,25551,70,42,20,70,46,22,71,70,37,17,71,40,16,70,46,26,57,28,10,66,36,15,87,65,37,79,53,27,96,85,62,62,34,21,80,55,29,63,34,14
NEW DEAL ISD,4,725,77,44,18,76,53,22,86,77,38,17,86,39,7,71,37,23,54,23,8,72,37,13,84,52,24,,,,,,,,,,76,36,12,75,38,14
SLATON ISD,6,1279,70,39,14,69,41,15,75,69,32,11,75,41,11,71,43,23,50,23,8,68,36,12,78,48,21,,,,-1,-1,-1,,,,75,55,15,65,33,11
LUBBOCK-COOPER ISD,10,7575,84,60,30,84,63,32,85,84,58,30,85,59,25,79,52,35,67,41,19,77,48,19,90,69,39,70,48,30,95,74,47,-1,-1,-1,84,60,32,72,42,17
FRENSHIP ISD,12,10860,83,58,31,84,64,34,89,80,48,24,89,67,35,82,57,37,74,44,23,78,48,22,90,69,41,89,61,14,94,83,54,-1,-1,-1,86,64,31,76,46,21
ROOSEVELT ISD,3,1110,69,38,15,68,40,13,78,62,29,13,78,42,14,81,54,29,56,33,18,65,33,10,77,46,22,71,43,0,,,,-1,-1,-1,59,24,14,65,34,12
SHALLOWATER ISD,6,1745,90,68,36,90,71,36,95,91,65,34,95,75,39,79,54,36,83,57,33,82,51,23,94,76,41,100,100,67,-1,-1,-1,-1,-1,-1,95,75,38,83,54,24
IDALOU ISD,3,1003,89,67,37,87,66,37,87,93,69,38,87,63,27,91,70,49,-1,-1,-1,83,52,25,93,77,44,100,100,50,,,,,,,100,100,100,77,44,18
O'DONNELL ISD,1,296,72,40,14,79,48,17,60,74,39,12,60,35,8,58,25,17,,,,67,34,10,82,49,21,,,,,,,,,,33,17,0,66,32,9
TAHOKA ISD,3,597,80,51,23,76,52,22,81,86,51,24,81,55,24,73,27,18,38,31,25,74,40,16,92,68,33,-1,-1,-1,,,,,,,-1,-1,-1,74,42,18
NEW HOME ISD,1,586,94,74,40,96,81,47,94,94,71,41,94,66,22,86,66,42,,,,89,63,26,96,78,45,,,,,,,,,,92,62,15,82,53,18
WILSON ISD,1,126,68,35,16,68,38,14,79,66,28,13,79,34,11,59,59,47,63,13,0,68,34,15,78,47,22,,,,,,,,,,20,0,0,65,34,16
MADISONVILLE CISD,4,2315,85,57,24,83,59,25,88,86,54,24,88,60,22,83,52,25,77,40,14,82,53,21,91,67,31,-1,-1,-1,100,71,52,-1,-1,-1,85,50,18,82,51,19
NORTH ZULCH ISD,1,315,84,58,25,86,62,27,85,82,54,23,85,54,19,81,56,39,-1,-1,-1,82,62,29,85,58,25,,,,100,100,80,,,,63,38,0,77,50,18
JEFFERSON ISD,4,1160,62,35,14,66,41,17,72,52,23,8,72,40,14,65,43,23,60,28,10,65,36,9,63,40,18,-1,-1,-1,75,63,38,,,,54,17,7,56,29,10
STANTON ISD,3,1101,76,47,21,76,51,21,74,75,44,20,74,46,21,78,51,25,-1,-1,-1,72,43,16,83,58,30,64,43,43,-1,-1,-1,-1,-1,-1,63,50,25,69,38,15
GRADY ISD,1,249,93,73,39,97,84,49,90,93,59,31,90,78,34,84,71,37,,,,90,62,38,95,78,40,,,,-1,-1,-1,,,,,,,90,56,29
MASON ISD,3,755,90,69,37,90,72,40,88,90,62,28,88,70,36,91,73,51,-1,-1,-1,81,51,22,95,78,45,-1,-1,-1,-1,-1,-1,,,,90,85,55,82,53,22
BAY CITY ISD,5,3508,66,39,17,66,40,17,70,66,35,15,70,41,15,63,40,22,50,22,7,67,39,17,77,54,25,-1,-1,-1,90,69,49,-1,-1,-1,66,41,18,62,34,13
TIDEHAVEN ISD,4,1007,87,61,29,88,67,33,85,87,60,30,85,50,18,85,52,30,81,56,22,85,54,23,90,68,36,100,100,50,,,,-1,-1,-1,86,71,36,82,50,22
MATAGORDA ISD,1,101,71,42,18,84,45,24,92,60,31,7,92,83,50,33,33,11,,,,71,31,17,69,46,18,,,,,,,,,,75,67,25,70,39,15
PALACIOS ISD,4,1320,77,49,21,77,51,21,79,74,43,18,79,51,20,81,57,33,56,28,8,75,43,16,83,61,31,-1,-1,-1,93,83,50,,,,80,25,10,72,42,16
VAN VLECK ISD,4,1077,78,49,23,78,55,25,78,80,46,22,78,44,17,74,49,27,63,28,12,77,45,18,83,57,28,-1,-1,-1,-1,-1,-1,71,14,0,59,31,19,72,41,17
EAGLE PASS ISD,24,13358,73,44,19,73,47,19,77,70,38,18,77,44,16,75,49,30,94,38,19,73,44,19,85,62,43,67,29,11,94,81,50,100,50,33,88,50,13,70,40,17
BRADY ISD,3,960,79,49,20,79,56,24,79,80,45,18,79,39,10,75,46,25,50,31,13,74,39,11,83,56,26,,,,100,92,85,,,,97,69,22,74,40,14
ROCHELLE ISD,1,194,95,80,48,92,75,42,96,98,89,56,96,83,42,91,69,50,,,,89,73,37,96,83,52,,,,,,,,,,100,77,31,95,82,48
LOHN ISD,1,125,47,18,7,49,28,12,46,49,10,4,46,13,4,38,10,0,,,,42,11,8,50,21,7,,,,,,,,,,50,0,0,50,19,9
WACO CHARTER SCHOOL,1,193,55,27,9,67,38,15,42,48,19,4,42,21,4,,,,57,26,6,54,29,9,-1,-1,-1,,,,,,,,,,-1,-1,-1,58,29,9
RAPOPORT ACADEMY PUBLIC SCHOOL,3,855,70,39,18,74,47,21,77,61,23,9,77,46,21,79,52,29,62,31,9,71,35,15,81,64,39,,,,100,83,50,,,,57,32,14,66,32,13
HARMONY PUBLIC SCHOOLS - NORTH TEXAS,16,9866,75,47,22,78,54,26,74,72,41,19,74,43,18,74,45,26,75,46,22,69,38,15,80,54,28,83,52,21,89,70,42,84,42,5,79,55,30,70,40,18
CRAWFORD ISD,2,558,93,69,33,96,79,39,91,91,67,33,91,53,19,86,62,30,57,14,0,92,67,28,93,71,35,-1,-1,-1,-1,-1,-1,,,,89,58,37,86,58,25
MIDWAY ISD,10,8394,87,67,39,87,70,40,87,86,63,37,87,67,39,85,65,45,73,45,19,83,57,28,91,75,47,86,57,25,93,82,56,85,65,15,85,65,40,77,50,24
LA VEGA ISD,5,3089,68,35,13,72,43,16,69,65,28,10,69,31,10,61,31,13,62,28,8,70,37,15,69,40,16,-1,-1,-1,100,83,50,-1,-1,-1,68,36,16,67,34,12
LORENA ISD,5,1764,90,67,36,91,71,38,93,89,62,33,93,71,38,89,66,41,89,65,33,87,57,24,91,70,39,100,61,22,93,79,57,-1,-1,-1,88,59,30,82,52,22
MART ISD,3,533,78,42,17,78,47,20,91,73,31,12,91,59,21,76,46,18,67,26,6,81,43,15,81,53,24,-1,-1,-1,,,,,,,77,30,15,78,38,13
MCGREGOR ISD,4,1492,78,48,20,76,52,20,78,79,44,20,78,44,16,81,49,30,64,41,18,74,41,17,85,59,25,83,22,0,-1,-1,-1,-1,-1,-1,87,52,26,72,39,15
MOODY ISD,4,687,72,43,19,73,49,18,77,67,35,17,77,50,26,75,39,20,67,33,14,62,35,14,78,50,23,80,40,20,-1,-1,-1,,,,76,36,11,68,40,16
RIESEL ISD,2,620,81,53,23,82,60,28,87,78,47,19,87,54,17,76,46,21,100,57,14,74,46,18,83,57,24,-1,-1,-1,-1,-1,-1,,,,68,41,27,72,45,15
WACO ISD,25,14066,56,28,11,58,32,12,54,53,23,9,54,24,8,58,32,17,44,19,6,60,30,12,69,44,22,73,60,27,84,70,40,80,20,0,60,34,15,54,26,10
WEST ISD,4,1234,83,56,26,82,60,27,90,83,52,25,90,57,24,74,53,24,67,42,6,81,54,26,84,57,26,89,44,33,,,,,,,85,63,15,76,46,19
AXTELL ISD,4,757,79,50,21,82,57,27,82,79,41,13,82,52,19,72,53,27,100,14,0,78,50,24,79,50,20,71,71,57,,,,,,,90,75,20,76,46,19
BRUCEVILLE-EDDY ISD,6,609,71,36,14,72,42,18,77,69,26,10,77,36,9,68,43,14,38,13,13,73,33,11,70,36,15,100,86,29,-1,-1,-1,,,,57,43,43,66,32,11
CHINA SPRING ISD,5,2951,86,62,32,87,66,34,85,87,57,28,85,59,30,85,64,44,76,40,19,81,55,24,89,66,36,82,71,12,96,68,44,,,,90,67,41,79,49,21
CONNALLY ISD,6,2270,55,25,9,58,31,11,59,46,15,5,59,24,7,66,35,14,49,19,5,52,23,8,65,35,16,44,22,0,89,33,0,,,,66,33,12,51,21,7
ROBINSON ISD,6,2400,83,57,27,85,65,33,82,85,50,21,82,55,22,77,52,29,66,31,10,82,51,21,85,61,30,100,86,14,100,100,79,,,,72,51,29,77,46,19
BOSQUEVILLE ISD,3,699,86,57,25,86,63,29,86,86,53,22,86,51,14,85,61,40,91,47,26,83,49,20,87,61,27,,,,-1,-1,-1,-1,-1,-1,86,50,31,80,48,18
HALLSBURG ISD,1,162,86,54,23,88,52,23,91,84,52,21,91,70,30,,,,100,60,0,83,39,15,89,60,28,,,,,,,,,,40,0,0,82,44,20
GHOLSON ISD,1,231,72,42,18,79,50,22,78,60,30,17,78,48,15,72,38,13,82,27,9,74,42,20,72,44,19,,,,,,,,,,47,16,5,68,38,17
MCMULLEN COUNTY ISD,1,283,93,69,34,93,73,35,97,96,69,31,97,70,33,80,56,35,,,,88,62,23,96,73,39,,,,100,100,50,,,,-1,-1,-1,90,59,32
DEVINE ISD,5,1961,76,46,19,77,50,20,77,73,37,14,77,46,16,77,53,34,50,10,0,72,39,13,83,58,29,,,,,,,100,100,80,96,80,45,69,36,12
D'HANIS ISD,1,296,85,60,32,89,69,40,88,84,50,27,88,63,29,70,47,26,,,,78,45,20,91,71,42,,,,-1,-1,-1,,,,,,,79,48,24
NATALIA ISD,4,1143,64,34,11,66,41,13,61,61,24,9,61,33,5,68,40,20,88,50,0,62,31,10,76,49,21,-1,-1,-1,,,,,,,55,27,18,58,28,8
HONDO ISD,4,1767,71,41,18,72,45,19,74,66,31,12,74,45,19,76,52,31,80,27,13,66,35,12,85,61,35,-1,-1,-1,-1,-1,-1,39,22,0,67,37,22,65,33,11
MEDINA VALLEY ISD,8,6757,84,58,30,86,63,33,85,82,52,25,85,60,30,85,57,35,81,59,32,82,53,25,90,70,41,88,68,29,93,65,30,82,64,32,88,65,32,79,49,21
MENARD ISD,2,297,78,47,18,86,62,25,77,73,36,13,77,41,16,72,37,12,20,0,0,71,40,11,85,53,24,,,,,,,,,,89,44,22,71,38,12
MIDLAND ACADEMY CHARTER SCHOOL,1,363,90,67,38,91,71,43,88,90,63,31,88,70,42,80,55,40,82,60,40,90,66,32,90,69,46,,,,100,100,85,,,,-1,-1,-1,88,62,28
MIDLAND ISD,41,26387,69,42,19,69,44,20,72,68,38,17,72,44,18,67,40,22,64,37,17,66,37,15,82,58,31,67,47,22,86,66,41,79,47,16,78,56,31,61,33,13
GREENWOOD ISD,4,3081,79,51,23,79,55,27,79,80,48,21,79,49,20,77,45,19,95,47,16,73,43,17,87,60,30,57,29,10,-1,-1,-1,,,,73,46,22,70,40,17
CAMERON ISD,4,1569,70,42,19,69,46,21,68,72,37,18,68,36,14,74,51,29,53,24,9,71,40,18,81,55,28,,,,100,100,60,,,,81,60,38,65,36,15
GAUSE ISD,1,163,83,54,25,92,71,29,57,82,43,20,57,39,21,85,54,38,62,29,5,82,56,25,91,57,28,-1,-1,-1,-1,-1,-1,,,,80,80,20,78,51,23
MILANO ISD,3,409,89,64,32,87,68,28,89,90,57,28,89,62,33,89,74,58,95,55,40,87,60,26,90,67,35,,,,-1,-1,-1,,,,79,42,5,85,57,24
ROCKDALE ISD,4,1416,73,42,16,73,47,18,73,72,34,13,73,37,9,75,50,27,63,25,8,73,40,15,75,49,20,-1,-1,-1,94,83,67,-1,-1,-1,69,32,13,68,36,13
THORNDALE ISD,3,594,78,44,16,77,50,19,86,76,33,12,86,48,16,80,49,15,-1,-1,-1,66,30,10,83,50,19,,,,,,,,,,64,45,18,69,34,12
BUCKHOLTS ISD,1,140,58,28,11,64,36,11,59,49,21,10,59,17,10,65,35,12,-1,-1,-1,55,25,9,64,32,13,,,,,,,,,,,,,54,26,8
GOLDTHWAITE ISD,3,532,93,72,37,93,73,38,97,93,71,37,97,71,34,89,70,38,,,,88,61,26,95,75,41,,,,-1,-1,-1,,,,-1,-1,-1,91,62,34
MULLIN ISD,4,195,81,55,23,81,52,17,62,88,60,21,62,46,23,81,57,43,,,,85,62,35,83,54,20,,,,,,,,,,-1,-1,-1,80,52,19
PRIDDY ISD,1,123,82,41,15,83,42,6,75,81,42,25,75,25,0,89,53,32,,,,79,21,12,82,46,15,,,,-1,-1,-1,,,,-1,-1,-1,82,42,15
COLORADO ISD,3,872,76,46,20,76,49,21,72,77,43,17,72,38,18,80,55,32,57,36,14,74,39,17,81,54,25,,,,100,88,50,,,,88,52,20,71,43,20
LORAINE ISD,1,133,63,36,17,71,38,22,58,63,38,19,58,32,6,40,25,10,30,0,0,63,35,17,71,45,22,,,,,,,,,,-1,-1,-1,58,33,16
WESTBROOK ISD,1,258,75,42,19,77,50,19,62,77,44,23,62,14,3,78,43,27,-1,-1,-1,66,34,10,80,46,24,,,,,,,,,,100,40,40,73,33,12
BOWIE ISD,3,1685,72,41,16,73,48,19,76,66,27,9,76,44,15,80,56,27,46,21,4,69,37,13,72,43,17,48,28,12,100,65,29,-1,-1,-1,76,34,8,66,34,12
NOCONA ISD,3,805,79,49,21,76,48,21,82,79,43,19,82,61,26,87,52,20,83,33,33,74,42,14,82,53,25,,,,-1,-1,-1,,,,76,33,9,75,41,14
GOLD BURG ISD,1,144,69,34,13,70,40,20,67,67,31,7,67,23,5,76,40,20,71,43,0,62,26,9,72,37,15,,,,,,,,,,56,22,11,72,30,7
MONTAGUE ISD,1,148,89,64,35,90,65,40,89,95,76,47,89,65,16,60,15,0,,,,80,53,20,89,65,36,,,,,,,,,,100,78,44,90,62,24
PRAIRIE VALLEY ISD,2,147,84,57,24,89,63,23,81,79,49,23,81,51,14,88,65,42,,,,83,39,13,84,61,25,,,,,,,,,,86,51,24,81,55,23
FORESTBURG ISD,1,175,84,55,21,89,67,30,86,76,38,13,86,56,11,82,64,27,-1,-1,-1,87,66,24,84,53,21,,,,,,,,,,-1,-1,-1,84,51,16
SAINT JO ISD,2,322,84,56,24,86,61,25,86,81,47,22,86,58,17,81,60,35,,,,91,69,25,83,55,24,100,60,40,,,,-1,-1,-1,76,52,24,86,57,23
TEXAS SERENITY ACADEMY,1,341,44,16,6,61,28,14,25,36,10,2,25,5,0,21,0,0,40,12,5,46,21,8,75,13,13,,,,,,,,,,43,0,0,45,17,7
CONROE ISD,61,67490,83,61,35,82,63,34,85,82,57,32,85,63,34,84,64,46,75,47,22,76,50,24,89,71,43,78,53,28,96,87,65,89,60,29,86,66,39,71,43,18
MONTGOMERY ISD,11,9328,87,66,35,86,67,35,87,89,66,37,87,62,28,89,66,44,70,43,17,82,56,29,90,69,38,83,50,21,86,73,49,75,31,13,82,59,34,78,51,25
WILLIS ISD,12,8395,70,40,16,73,48,20,71,66,31,11,71,39,10,71,43,23,59,27,9,65,34,12,76,46,20,50,29,13,86,74,47,75,29,8,68,36,13,64,33,12
MAGNOLIA ISD,17,13613,79,54,28,78,57,28,83,77,46,23,83,60,34,85,62,42,72,42,16,72,44,20,84,62,34,76,41,21,93,72,47,-1,-1,-1,84,63,38,70,42,18
SPLENDORA ISD,7,4362,69,35,13,69,41,17,70,68,28,10,70,38,13,66,34,14,72,32,9,66,33,12,70,37,15,100,60,0,72,33,11,-1,-1,-1,74,44,22,65,32,12
NEW CANEY ISD,20,17098,70,42,18,70,46,19,72,68,37,16,72,40,16,70,44,25,69,41,15,67,38,16,74,48,22,74,41,20,91,69,44,63,44,14,73,48,23,65,36,14
DUMAS ISD,9,4268,80,50,21,79,52,21,80,82,49,20,80,49,20,78,53,28,63,34,11,79,48,19,90,65,32,81,39,22,82,50,21,,,,79,49,17,77,46,18
SUNRAY COLLEGIATE ISD,3,618,79,46,19,80,54,23,73,81,42,20,73,39,10,75,34,19,71,29,14,75,42,16,83,51,23,100,63,50,,,,,,,100,82,45,76,44,19
DAINGERFIELD-LONE STAR ISD,4,994,71,37,13,74,44,15,67,67,29,11,67,33,8,74,42,16,62,30,10,78,44,16,74,39,14,100,50,17,67,17,0,,,,78,45,14,69,36,12
PEWITT CISD,3,866,80,50,18,84,59,23,79,81,46,17,79,45,16,66,33,12,66,38,11,80,44,16,84,54,21,60,40,20,-1,-1,-1,,,,78,48,14,77,45,16
MOTLEY COUNTY ISD,1,157,83,58,22,87,64,26,89,83,55,22,89,64,28,64,36,4,-1,-1,-1,85,51,16,82,61,24,,,,,,,,,,100,83,50,84,60,24
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,1,256,97,84,59,98,88,66,92,98,86,61,92,65,32,,,,85,52,19,100,81,59,98,90,65,,,,100,92,75,,,,96,74,48,88,58,38
CHIRENO ISD,2,407,73,41,17,72,48,17,72,73,36,18,72,35,13,86,43,11,52,17,5,64,34,12,77,45,19,,,,-1,-1,-1,,,,71,39,10,64,29,10
CUSHING ISD,2,554,78,48,18,80,58,22,88,69,33,14,88,53,13,81,52,25,79,38,19,75,47,13,79,50,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,60,31,12,77,45,15
GARRISON ISD,4,748,80,50,22,81,57,28,78,80,43,16,78,43,12,86,53,31,56,21,9,80,48,16,86,57,25,-1,-1,-1,86,50,36,,,,96,48,30,77,43,18
NACOGDOCHES ISD,10,5883,63,36,15,65,40,16,66,57,28,11,66,39,15,67,42,27,49,22,8,65,35,13,76,56,31,80,60,60,90,72,52,-1,-1,-1,75,53,25,59,31,12
WODEN ISD,3,759,85,57,29,87,61,29,83,82,48,21,83,54,28,95,77,54,50,20,0,83,54,27,87,59,29,-1,-1,-1,100,88,50,,,,87,61,39,82,53,25
CENTRAL HEIGHTS ISD,3,1137,88,66,35,88,72,41,84,89,64,30,84,58,27,87,67,43,63,39,18,80,54,20,91,71,40,-1,-1,-1,100,89,68,,,,93,81,45,79,53,26
MARTINSVILLE ISD,1,344,77,42,18,80,52,23,86,71,24,10,86,55,22,68,40,22,86,50,43,74,26,10,77,47,20,-1,-1,-1,,,,,,,79,27,12,71,32,10
ETOILE ISD,1,93,72,33,15,78,51,24,67,65,22,8,67,0,0,-1,-1,-1,,,,-1,-1,-1,73,34,16,,,,,,,,,,,,,71,33,12
DOUGLASS ISD,1,456,79,56,28,83,62,31,80,81,56,25,80,57,28,64,35,22,45,24,0,61,35,15,85,63,31,-1,-1,-1,100,83,58,,,,84,53,44,70,42,16
BLOOMING GROVE ISD,3,903,79,49,21,80,53,24,79,78,47,20,79,45,13,74,44,23,74,48,22,75,38,11,80,55,26,,,,100,86,43,83,50,50,77,45,12,76,42,16
CORSICANA ISD,8,5996,72,45,19,72,47,20,73,72,42,18,73,43,15,66,44,24,58,32,11,73,44,18,80,55,28,54,31,8,94,74,30,67,36,15,68,42,17,69,41,17
DAWSON ISD,2,525,71,40,15,72,46,17,69,72,37,15,69,34,10,69,37,15,56,15,3,64,26,9,74,48,19,64,18,0,,,,,,,90,60,25,71,37,15
FROST ISD,3,435,72,41,16,74,44,20,71,72,35,12,71,48,16,68,33,15,73,45,9,68,36,12,74,43,18,,,,,,,,,,74,26,21,69,34,14
KERENS ISD,1,552,74,41,14,74,44,16,70,78,37,15,70,43,6,70,39,20,61,27,6,78,41,18,78,48,15,,,,,,,36,18,0,79,49,21,71,37,13
MILDRED ISD,2,831,85,55,26,88,62,28,81,83,49,26,81,45,14,91,60,36,71,26,11,76,46,18,89,59,29,-1,-1,-1,85,69,38,,,,90,52,27,79,42,16
RICE ISD,3,993,75,49,22,75,50,21,78,74,47,22,78,50,21,71,47,23,65,43,22,72,45,19,82,58,28,,,,,,,,,,96,67,33,71,44,18
BURKEVILLE ISD,1,232,58,28,11,58,35,15,60,56,21,6,60,19,8,62,35,12,42,14,8,64,14,0,64,34,12,,,,,,,,,,60,20,0,55,25,10
NEWTON ISD,3,958,72,40,16,74,43,18,73,66,31,9,73,48,20,83,52,29,61,30,9,68,42,21,78,47,20,-1,-1,-1,100,60,0,,,,81,36,12,68,35,12
DEWEYVILLE ISD,2,529,74,44,19,81,57,26,74,67,33,13,74,39,16,70,41,15,58,8,8,72,41,21,74,46,19,60,20,0,,,,,,,92,50,8,71,41,16
ROSCOE COLLEGIATE ISD,4,3076,50,25,10,60,35,15,42,41,14,5,42,19,5,70,46,26,32,12,4,48,21,8,69,41,19,,,,74,41,20,,,,42,23,11,40,18,7
SWEETWATER ISD,6,2052,63,35,13,64,40,15,64,63,31,10,64,33,9,57,33,16,54,23,6,57,28,8,72,46,19,,,,77,55,23,,,,76,49,15,56,28,8
BLACKWELL CISD,1,155,88,54,22,96,70,30,88,84,40,10,88,58,23,77,42,31,,,,78,41,12,94,63,26,,,,,,,,,,,,,82,41,12
HIGHLAND ISD,1,225,90,65,32,90,67,35,85,94,71,36,85,45,18,84,66,32,,,,78,50,13,93,68,37,,,,,,,,,,67,50,0,81,48,24
DR M L GARZA-GONZALEZ CHARTER SCHOOL,1,166,69,33,17,81,46,27,69,56,20,6,69,38,21,80,20,7,85,62,38,69,31,16,-1,-1,-1,-1,-1,-1,,,,,,,,,,69,32,16
CORPUS CHRISTI MONTESSORI SCHOOL,1,121,65,34,21,84,59,44,55,58,18,7,55,20,0,14,7,0,-1,-1,-1,62,32,18,77,42,32,,,,-1,-1,-1,-1,-1,-1,55,36,27,58,25,22
SEASHORE CHARTER SCHOOLS,2,495,88,61,34,92,74,46,83,85,50,20,83,55,29,89,72,50,,,,85,55,34,88,62,32,-1,-1,-1,100,79,54,,,,93,86,64,,,
AGUA DULCE ISD,2,400,79,48,20,83,60,25,82,71,31,12,82,52,16,87,47,31,83,67,0,76,43,17,93,64,32,,,,,,,,,,-1,-1,-1,75,42,16
BISHOP CISD,5,1457,82,55,27,81,57,24,80,83,54,30,80,47,18,84,62,40,65,24,18,81,53,25,87,69,38,100,75,38,-1,-1,-1,,,,80,53,40,78,49,24
CALALLEN ISD,6,3856,82,56,28,82,59,28,86,82,51,24,86,60,31,79,55,39,75,38,17,79,50,23,90,68,38,80,40,0,100,86,55,-1,-1,-1,85,64,39,75,45,19
CORPUS CHRISTI ISD,57,33107,69,40,17,71,46,20,67,69,36,15,67,34,11,69,42,22,65,35,13,67,37,15,80,56,28,86,43,12,93,79,53,75,52,30,81,58,27,64,34,13
DRISCOLL ISD,1,272,84,53,27,87,63,38,90,81,45,18,90,59,25,73,31,19,-1,-1,-1,83,51,24,97,82,55,,,,,,,,,,,,,83,49,24
LONDON ISD,4,1427,93,74,40,93,78,42,90,94,73,41,90,63,30,94,74,46,89,50,17,92,69,34,95,79,48,-1,-1,-1,100,94,61,,,,96,81,54,84,60,29
PORT ARANSAS ISD,3,524,89,68,36,89,68,33,89,87,63,30,89,75,41,93,75,58,-1,-1,-1,79,53,23,92,72,39,-1,-1,-1,-1,-1,-1,,,,83,73,45,78,53,26
ROBSTOWN ISD,6,2479,54,28,9,59,37,13,51,52,22,8,51,22,4,48,20,7,69,38,25,54,28,9,58,33,11,,,,-1,-1,-1,,,,-1,-1,-1,52,26,9
TULOSO-MIDWAY ISD,6,3745,79,50,23,81,58,27,82,74,39,15,82,52,20,81,56,33,63,49,15,78,48,21,84,60,30,78,44,22,100,88,59,-1,-1,-1,81,51,23,74,44,19
BANQUETE ISD,3,858,84,55,22,86,62,26,87,83,50,20,87,55,21,77,40,19,-1,-1,-1,84,54,22,86,61,28,,,,-1,-1,-1,,,,-1,-1,-1,82,50,22
FLOUR BLUFF ISD,7,5523,84,59,31,85,64,32,87,82,53,27,87,61,31,82,58,37,74,44,15,81,54,25,86,64,36,82,47,18,94,82,61,96,96,58,88,65,34,76,46,21
WEST OSO ISD,5,1964,67,36,14,71,44,17,62,66,29,10,62,30,8,60,35,20,67,36,14,66,35,13,81,56,28,-1,-1,-1,,,,,,,83,83,50,67,36,14
PERRYTON ISD,6,2046,83,56,25,84,62,26,86,83,53,26,86,58,26,77,42,19,-1,-1,-1,81,52,22,90,69,34,,,,100,78,56,,,,83,44,25,80,50,22
BOYS RANCH ISD,3,178,81,56,21,78,53,15,91,71,47,19,91,66,26,94,69,38,78,44,8,81,46,14,80,61,28,,,,-1,-1,-1,,,,100,92,8,80,55,16
VEGA ISD,3,368,94,72,39,95,78,40,94,95,73,41,94,61,29,87,56,42,,,,86,49,22,96,78,44,,,,-1,-1,-1,,,,82,36,27,86,53,21
